time,difficulty,peoples,detail,name
3课时							24分钟,初级,1511,"
			本课程带领大家从对象、文件、块存储服务，以及各种云数据迁移选项中选择，从而开始设计云 IT 环境的基础。
		",AWS 云产品—存储和内容传输
3课时							16分钟,初级,1692,"
			本课程讲解如何借助 AWS 计算类云产品，将你的应用程序作为虚拟服务器、容器或代码进行部署、运行和扩展。
		",AWS 云产品—计算（云服务器）
1课时							12分钟,初级,1448,"
			本课程讲解AWS 云中网络服务 Amazon VPC, 可以让你在 AWS 云中预置一个逻辑隔离分区，让你在自己定义的虚拟网络中启动 AWS 资源。
		",AWS 云产品—网络与内容分发
3课时							24分钟,初级,1443,"
			本课程中，AWS 架构师将通过实际操作讲述如何使用 AWS 云服务计费规则进行成本估算、通过控制台查看账单。
		",AWS 云账单服务
6课时							60分钟,初级,1472,"
			本课程讲述 AWS 云中网络服务 VPC，你在 VPC 中既可以使用 IPv4，也可以使用 IPv6，从而实现安全而轻松的资源访问和应用程序访问。

		",AWS 云中的网络服务
2课时							22分钟,初级,1481,"
			本课程讲解 Amazon RDS 在多种类型的数据库实例 （针对内存、性能或 I/O 进行了优化的实例） ，并提供六种常用的数据库引擎供您选择，包括 Amazon Aurora、PostgreSQL、MySQL、MariaDB、Oracle 和 Microsoft SQL Server。
		",AWS 云中的关系型数据库服务 RDS（上）
3课时							40分钟,初级,1591,"
			本课程讲述如何实现在多个 Amazon EC2 实例之间自动分配应用程序的传入流量。应用程序负载均衡器可将流量路由至多个服务，也可在同一 EC2 实例的多个端口之间进行负载均衡。

		",AWS 云中的负载均衡 ELB
6课时							22分钟,初级,1602,"
			本课程 AWS 架构师将手把手教你使用 AWS 云中的计算类服务。
		",AWS 云中弹性计算服务（虚拟机EC2）
3课时							58分钟,初级,3547,"
			本课程中，微软亚洲院三位男神以对话的形式，与关注科技圈人工智能的朋友共同探讨，在人工智能的美丽新世界中，我们如何通过人工智能这样强大有潜力的工具来帮助人类解决很多难题。
		",微软男神夜话-人工智能的美丽新世界
2课时							31分钟,初级,4095,"
			本课将为大家介绍微软研究院最新 AI 成果，以及微软在 Azure 公有云中围绕人工智能和数据分析、深度学习提供的接口和服务，并探讨这些服务如何助力开发人员抢占人工智能的先机。

		",微软人工智能概览
15课时							588分钟,高级,5731,"
			微软的公有云Azure针对现有流行的深度学习框架提供了强大的支持，为 Cognitive Toolkit，TensorFlow 以及 Caffe 等业界主流的深度学习框架提供了虚拟机模板和预配置的环境。同时微软研究院在深度神经网络及其应用领域一直处于领先的地位，并提供了一系列算法和工具不断促进性能的提升。数据科学家们可以快速的利用这些资源进行深度学习相关的研究、开发和应用。

本部分内容讲围绕微软最新的深度研究方向以及深度学习在业界使用的场景，介绍深度学习网络的基本概念和应用在语音、视觉、视频、图像等领域的最佳实践，同时为大家带来一系列实际应用案例的解析。
		",微软人工智能 － 深度学习框架
6课时							260分钟,中级,2851,"
			随着移动互联网、物联网技术的发展，企业将有能力收集到越来越多的数据，数据的统计、分析甚至是机器学习成为如今最热门的话题。为了满足飞速累积的数据和日益增长的需求，数据分析人员对便捷的机器学习训练工具、高度自管理化的大数据分析平台有着强烈的渴望。

		",微软人工智能 － 数据分析平台
5课时							177分钟,中级,9813,"
			本课程主要介绍腾讯游戏云相关知识
		",腾讯云产品 - 游戏云
6课时							41分钟,初级,14095,"
			本课程介绍常用前端开发工具 Sublime Text / Dreamweaver / WebStorm 的安装与使用技巧
		",前端开发环境搭建(三种工具任选其一)
10课时							204分钟,高级,8532,"
			本课程主要是腾讯大咖与大家分享一些技术经验与心得。
		",腾讯大咖分享 - 腾讯大咖分享之技术交流
7课时							93分钟,高级,6042,"
			本课程主要是由腾讯大咖为大家分享创业心经。
		",腾讯大咖分享 - 腾讯大咖分享之创业心经
12课时							106分钟,中级,5877,"
			本课程通过实操演示，教大家快速完成SDK集成。
		",腾讯云产品 - 腾讯云通信
12课时							115分钟,中级,5036,"
			本课程主要为大家讲解SDK集成，iOS集成。
		",腾讯云产品 - 腾讯视频云之互动直播
4课时							85分钟,中级,5628,"
			本课程手把手教大家快速调用相关SDK。
		",腾讯云产品 - 腾讯视频云之直播LVB
1课时							9分钟,中级,7952,"
			本课程主要为大家介绍云数据库的使用入门。
		",腾讯云产品 - 腾讯云数据库CDB
4课时							19分钟,中级,5725,"
			本课程通过实操演示，教大家快速掌握云服务器的使用方法。
		",腾讯云产品 - 在云上搭建自己的Discuz论坛
13课时							88分钟,中级,407,"
			Lambda是AWS提供的一款无服务器计算服务。您不需要管理服务器、不需要安装操作系统、不需要维护运行时环境、不需要担心应用的可用性和扩展性。本课程主要会以Demo形式讲解AWS Lambda的概念，编程模型、并发问题、版本控制 ，怎么构建Lambda函数， 配合DynamoDB进行数据库交互，配合S3进行事件触发（图片压缩、水印等），配合Kinesis就行实时流数据处理，配合SNS就行消息通知事件触发等，以及如何构建一个动态交互式网站。
		",无服务器架构系列讲解 - Lambda + API Gateway
11课时							402分钟,初级,4627,"
			以微软认知服务和机器人框架为代表的服务和API，让你的应用和服务可以轻而易举的拥有人的智慧。

		",微软人工智能 － 服务和API
5课时							39分钟,中级,1378,"
			本课程将介绍混合云方法的各种好处。通过探索客户的成功案例，了解混合云方法带来哪些好处；了解如何通过Amazon Elastic Compute Cloud（EC2）削减成本；了解如何提高安全性而不影响性能。
		",在混合云模式中现代化您的微软应用程序
4课时							30分钟,初级,1294,"
			本课程中，AWS技术专家将会通过展示和实操的方式带您了解如何在管理控制台中对相关的AWS服务进行配置和操作，从而让您快速上手开始搭建自己的云架构。
		",AWS云中的设计高可用架构-弹性和高可用的思考
2课时							7分钟,初级,1400,"
			本课程对AWS EC2 RI的基本介绍及购买方法。
		",AWS EC2 RI 基本介绍
